FORMULA,PREPARATION STEP NAME,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Temperature ($^\circ$C),PREPARATION STEP DETAIL: Time (h),PREPARATION STEP DETAIL: Quench,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Cold rolled (%),PREPARATION STEP NAME,PREPARATION STEP DETAIL: Hot rolled (%),PREPARATION STEP DETAIL: Temperature ($^\circ$C),PREPARATION STEP NAME,PREPARATION STEP DETAIL: Temperature ($^\circ$C),PREPARATION STEP DETAIL: Time (h),PREPARATION STEP DETAIL: Annealing Temperature ($^\circ$C),PREPARATION STEP DETAIL: Annealing Temperature (K),PREPARATION STEP DETAIL: Annealing Time (h),PROPERTY: Microstructure,PROPERTY: Number of Phases,PROPERTY: Grain size ($\mu$m),PROPERTY: Creep rate (s$^-$^1$),CONDITION: Temperature ($^\circ$C),PROPERTY: Yield strength (MPa),CONDITION: Temperature ($^\circ$C),PROPERTY: Ultimate Ttensile strength (MPa),CONDITION: Temperature ($^\circ$C),PROPERTY: Elongation (%),CONDITION: Temperature ($^\circ$C),Table Number,Table Caption,REFERENCE: doi,CONTACT: Name,CONTACT: Email,PROPERTY: Enthalpy of mixing (kJ/mol),PROPERTY: Entropy of mixing (J*K/mol),PROPERTY: Atomic size difference (%),PROPERTY: $\Omega$,PROPERTY: average VEC,PROPERTY: $\delta$ X)
Al0.3CoCrFeNi,as-cast,,,,,,,,,,,,,,,,FCC+L1$_2$,2,,4.00E-04,23,224 $\pm$ 51,23,434 $\pm$ 94,23,48 $\pm$ 10,23,6,Tensile properties of 3d transition metal CCAs (alloys containing Al are listed in order of increasing Al at%).,10.1016/j.jallcom.2008.12.088,Jen Moua,jmoua@pdx.edu,-7.269,-12.825,3.758,3.164,7.884,0.108
Al0.3CoCrFeNi,as-cast,Annealed,700,72,Water quench,,,,,,,,,,,,FCC+L1$_2$,2,,4.00E-04,23,310,23,525,23,44,23,6,Tensile properties of 3d transition metal CCAs (alloys containing Al are listed in order of increasing Al at%).,10.1016/j.jallcom.2008.12.088,Jen Moua,jmoua@pdx.edu,-7.269,-12.825,3.758,3.164,7.884,0.108
Al0.3CoCrFeNi,as-cast,Annealed,900,72,Water quench,,,,,,,,,,,,FCC+B2+L1$_2$,3,,4.00E-04,23,240,23,570,23,45,23,6,Tensile properties of 3d transition metal CCAs (alloys containing Al are listed in order of increasing Al at%).,10.1016/j.jallcom.2008.12.088,Jen Moua,jmoua@pdx.edu,-7.269,-12.825,3.758,3.164,7.884,0.108
Al0.3CoCrFeNi,Bridgman casting,,,,,,,,,,,,,,,,SX near [001],,,4.00E-04,23,185,23,399,23,80,23,6,Tensile properties of 3d transition metal CCAs (alloys containing Al are listed in order of increasing Al at%).,10.1016/j.intermet.2014.05.018,Jen Moua,jmoua@pdx.edu,-7.269,-12.825,3.758,3.164,7.884,0.108
Al0.5CoCrCu0.5FeNi2,as-cast,,,,,,,,,,,,,,,,FCC+L1$_2$,2,,3.30E-03,"[23, 500]","[357, 315 $\pm$ 12]","[23, 500]","[459, 334 $\pm$ 1]","[23, 500]","[9, 0.7 $\pm$ 0.3]","[23, 500]",6,Tensile properties of 3d transition metal CCAs (alloys containing Al are listed in order of increasing Al at%).,10.1007/s11837-013-0756-3,Calen Robinette,calen.robinette@gmail.com,-5.194,-13.936,4.055,4.607,8.333,0.109
Al0.5CoCrCu0.5FeNi2,as-cast,Annealed,700,5,slow cooled,,,,,,,,,,,,FCC+L1$_2$+Cr-rich IM at GB,3,,3.30E-03,"[23, 500]",,"[23, 500]","[365, 310 $\pm$ 2]","[23, 500]","[0.1, 0.02]","[23, 500]",6,Tensile properties of 3d transition metal CCAs (alloys containing Al are listed in order of increasing Al at%).,10.1007/s11837-013-0756-3,Calen Robinette,calen.robinette@gmail.com,-5.194,-13.936,4.055,4.607,8.333,0.109
Al0.5CoCrCu0.5FeNi2,as-cast,Annealed,1150,5,Water quench,,,,,,,,,,,,FCC+L1$_2$,2,,3.30E-03,"[23, 500]","[215, 215 $\pm$ 11]","[23, 500]","[489, 248 $\pm$ 10]","[23, 500]","[39, 6.0 $\pm$ 3.0]","[23, 500]",6,Tensile properties of 3d transition metal CCAs (alloys containing Al are listed in order of increasing Al at%).,10.1007/s11837-013-0756-3,Calen Robinette,calen.robinette@gmail.com,-5.194,-13.936,4.055,4.607,8.333,0.109
Al0.5CoCrCuFeNi,as-cast,,,,,,,,,,,,,,,,FCC+FCC,2,,8.00E-04,23,360,23,707,23,19,23,6,Tensile properties of 3d transition metal CCAs (alloys containing Al are listed in order of increasing Al at%).,10.1142/S0217979209060774,Jen Moua,jmoua@pdx.edu,-1.521,-14.697,4.169,16.259,8.273,0.109
Al0.5CoCrCuFeNi,as-cast,Annealed,1000,6,,Cold rolled,84,,,,,,,900,,5,FCC+L1$_2$,2,,1.00E-03,23,1284,23,1344,23,7.6,23,6,Tensile properties of 3d transition metal CCAs (alloys containing Al are listed in order of increasing Al at%).,10.1016/j.jallcom.2008.12.088,Jen Moua,jmoua@pdx.edu,-1.521,-14.697,4.169,16.259,8.273,0.109
Al0.5CoCrCuFeNi,as-cast,Annealed,1000,6,Water quench,Cold rolled,80,,,,Annealed,900,5,900,,5,FCC+FCC,2,1,1.00E-03,"[23, 300,400, 500, 600, 700]","[655, 460 $\pm$ 90, 500, 430 $\pm$ 20, 270 $\pm$ 20, 170 $\pm$ 40]","[23, 300,400, 500, 600, 700]","[800 $\pm$ 30, 600 $\pm$ 50, 590 $\pm$ 20, 450 $\pm$ 50, 310 $\pm$ 40, 190 $\pm$ 30]","[23, 300,400, 500, 600, 700]","[29 $\pm$ 1, 6 $\pm$ 2, 4 $\pm$ 2, 2 $\pm$ 2, 3 $\pm$ 1, 13 $\pm$ 4]","[23, 300,400, 500, 600, 700]",6,Tensile properties of 3d transition metal CCAs (alloys containing Al are listed in order of increasing Al at%).,10.1016/j.jallcom.2009.10.088,Jen Moua,jmoua@pdx.edu,-1.521,-14.697,4.169,16.259,8.273,0.109
Al0.5CrCuFeNi2,as-cast,,,,,Cold rolled,43,,,,,,,,,,FCC+FCC,2,,1.00E-03,23,363 $\pm$ 60,23,500 $\pm$ 20,23,16 $\pm$ 7,23,6,Tensile properties of 3d transition metal CCAs (alloys containing Al are listed in order of increasing Al at%).,10.1016/j.jallcom.2013.09.105,Calen Robinette,calen.robinette@gmail.com,-2.512,-12.602,4.2,8.403,8.455,0.113
Al0.5CrCuFeNi2,as-cast,,,,,Cold rolled,43,,,,Annealed,700,24,,,,BCC+FCC+L1$_2$,3,,,,630 $\pm$ 270,,922 $\pm$ 240,,4.2 $\pm$ 1.3,,6,Tensile properties of 3d transition metal CCAs (alloys containing Al are listed in order of increasing Al at%).,10.1016/j.jallcom.2013.09.105,Calen Robinette,calen.robinette@gmail.com,-2.512,-12.602,4.2,8.403,8.455,0.113
Al0.5CrCuFeNi2,as-cast,,,,,Cold rolled,43,,,,Annealed,900,24,,,,BCC+FCC+L1$_2$,3,,,,704 $\pm$ 180,,1088 $\pm$ 20,,5.6 $\pm$ 3.2,,6,Tensile properties of 3d transition metal CCAs (alloys containing Al are listed in order of increasing Al at%).,10.1016/j.jallcom.2013.09.105,Calen Robinette,calen.robinette@gmail.com,-2.512,-12.602,4.2,8.403,8.455,0.113
Al0.5CrCuFeNi2,as-cast,,,,,Cold rolled,43,,,,Annealed,1100,24,,,,FCC+L1$_2$,2,,,,360 $\pm$ 100,,639 $\pm$ 5,,3.4 $\pm$ 0.4,,6,Tensile properties of 3d transition metal CCAs (alloys containing Al are listed in order of increasing Al at%).,10.1016/j.jallcom.2013.09.105,Calen Robinette,calen.robinette@gmail.com,-2.512,-12.602,4.2,8.403,8.455,0.113
AlCoCrCuFeNi,as-cast,,,,,,,,,,,,,,,,BCC+FCC+B2+L1$_2$,4,,1.00E-03,"[20, 600, 700, 800, 900, 1000]","[790, 648, 350, 161, 88, 37]","[20, 600, 700, 800, 900, 1000]","[790, 551, 360, 180, 100, 44]","[20, 600, 700, 800, 900, 1000]","[0.2, 0.4, 4.7, 12.1, 30, 77]","[20, 600, 700, 800, 900, 1000]",6,Tensile properties of 3d transition metal CCAs (alloys containing Al are listed in order of increasing Al at%).,10.1016/j.actamat.2010.09.023,Jen Moua,jmoua@pdx.edu,-4.778,-14.897,5.281,5.051,7.833,0.119
AlCoCrCuFeNi,as-cast,Annealed,960,50,,a-b-c- forged,,,,,,950,,,,,BCC/B2+FCC+FCC+$\sigma$,4,,"[0.001, 0.001, 0.001, 0.001, 0.0001, 0.001, 0.01, 0.0001, 0.001, 0.01, 0.001, 0.01, 0.1]","[20, 300, 600, 700, 800, 800, 800, 900, 900, 900, 1000,1000, 1000]","[1040, 810, 300, 63, 8, 29 $\pm$7, 105, 4, 13 $\pm$1, 42, 6 $\pm$3, 12, 42]","[20, 300, 600, 700, 800, 800, 800, 900, 900, 900, 1000,1000, 1000]","[1170, 880, 350, 91, 17, 39 $\pm$ 12, 142, 5 16 $\pm$ 2, 53, 14 $\pm$ 8, 14, 55","[20, 300, 600, 700, 800, 800, 800, 900, 900, 900, 1000,1000, 1000]","[1, 0.4, 1.3, 63, 325, 382 $\pm$ 222, 60, 490, 495 $\pm$ 90, 350, 857 $\pm$ 7, 1240, 600]","[20, 300, 600, 700, 800, 800, 800, 900, 900, 900, 1000,1000, 1000]",6,Tensile properties of 3d transition metal CCAs (alloys containing Al are listed in order of increasing Al at%).,10.1016/j.actamat.2010.09.023,Jen Moua,jmoua@pdx.edu,-4.778,-14.897,5.281,5.051,7.833,0.119
