,H,Li,Be,B,C,N,Na,Mg,Al,Si,P,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,
Pd,-27,-40,-8,-24,-32,-62,-15,-40,46,-55,-36.5,-9,-63,-86,-65,-35,-15,-23,-4,-1,0,-14,-33,-42,-43.5,-36,-9,-61,-84,-91,-53,-15,4,6,2,,
Ag,-10,-16,6,5,-32,-94,0,-10,-4,-20,-18.5,7,-28,-28,-2,17,27,13,28,19,15,2,-4,-5,-17.5,-8,7,-27,-29,-20,16,37,24,23,10,-7,
Cd,-6,-13,11,13,-27,-91,-3,-6,3,-13,-11.5,1,-32,-30,-8,9,17,2,17,6,2,6,1,1,-14.5,-4,1,-33,-35,-26,11,28,10,9,-6,-26,
In,-6,-12,16,18,-27,-98,-5,-4,7,-10,-10.5,-4,-35,-30,-5,12,20,3,19,7,2,10,3,3,-13.5,-3,-4,-37,-36,-25,15,33,11,10,-8,-31,
Sn,-4,-18,15,18,-23,-90,-8,-9,4,-11,-7.5,-7,-45,-45,-21,-1,10,-7,11,0,-4,7,1,1,-12.5,-1,-7,-46,-51,-43,-1,20,5,4,-13,-34,
Sb,-1,-28,18,23,-13,-74,-20,-16,2,-8,2.5,-22,-62,-61,-33,-8,7,-11,10,2,-1,7,-1,-1,-10.5,3,-24,-66,-68,-60,-11,17,8,9,-8,-28,
Cs,-16,16,29,29,-43,-155,3,25,26,-3,-24.5,0,19,70,104,103,97,71,85,58,48,28,15,14,-19.5,-12,0,14,62,101,135,128,69,64,34,-9,
Ba,-49,0,-10,-19,-90,-212,-3,-4,-20,-52,-85.5,6,1,28,57,57,50,29,37,11,0,-9,-23,-30,-63.5,-66,9,0,20,52,81,73,11,6,-21,-62,
La,-60,6,-29,-47,-116,-235,24,-7,-38,-73,-112.5,46,8,2,20,22,17,3,5,-17,-27,-21,-31,-41,-735,-81,52,14,0,13,36,31,-23,-28,-50,-82,
Ce,-61,7,-30,-48,-116,-234,25,-7,-38,-73,-112.5,47,9,2,18,20,15,1,3,-18,-28,-21,-31,-41,-73.5,-81,53,15,0,12,34,29,-25,-30,-52,-83,
Pr,-61,7,-31,-49,-117,-233,26,-6,-38,-73,-112.5,49,10,1,17,18,13,0,1,-20,-30,-22,-31,-41,-72.5,-81,55,16,0,10,32,26,-27,-32,-53,-83,
Nd,-61,7,-31,-49,-116,-235,26,-6,-38,-73,-112.5,49,10,2,17,18,13,0,1,-20,-30,-22,-31,-40,-101.5,-80,55,16,0,10,32,26,-27,-32,-53,-83,
Pm,-61,8,-33,-51,-118,-233,28,-6,-39,-74,-114.5,51,11,1,15,16,10,-2,-2,-23,-32,-23,-32,-41,-73.5,-81,57,18,0,9,29,23,-30,-35,-56,-86,
Sm,-61,8,-32,-50,-117,-202,28,-6,-38,-74,-113.5,50,11,1,15,17,11,-1,-1,-22,-31,-22,-31,-40,-72.5,-80,56,17,0,9,30,24,-29,-34,-54,-84,
Eu,45,-1,-12,-19,-87,-231,0,-5,-19,49,-79.5,10,0,21,48,49,43,23,30,7,-3,-10,-21,-27,-58.5,-60,13,0,14,42,69,63,6,2,-24,-61,
Gd,-61,8,-32,-50,-117,-232,28,-6,-39,-73,-113.5,50,11,1,15,17,11,-1,-1,-22,-31,-22,-31,-40,-72.5,-80,56,17,0,9,30,24,-29,-34,-54,-84,
Tb,-61,9,-33,-51,-118,-232,29,-6,-39,-74,-113.5,52,12,1,14,15,9,-3,-3,-23,-32,-23,-31,-40,-72.5,-80,58,18,0,8,28,22,-30,-35,-56,-85,
Dy,-61,9,-32,-51,-117,-231,29,-6,-38,-74,-112.5,51,12,1,14,15,9,-3,-3,-23,-32,-22,-31,-40,-71.5,-80,58,18,0,8,27,22,-30,-35,-55,-84,
Ho,-60,8,-32,-50,-116,-229,28,-6,-38,-73,-111.5,51,11,1,14,16,10,-2,-2,-22,-31,-22,-30,-39,-71.5,-79,57,18,0,9,28,22,-29,-34,-54,-83,
Er,-61,9,-33,-52,-118,-230,30,-5,-38,-74,-113.5,53,13,0,13,14,8,-4,-5,-24,-34,-23,-31,-40,-71.5,-79,59,20,0,7,26,20,-32,-37,-57,-85,
Tm,-61,9,-33,-52,-117,-229,30,-5,-38,-74,-112.5,52,13,0,12,13,8,-4,-5,-24,-34,-23,-30,-39,-71.5,-79,59,20,0,7,25,19,-32,-37,-56,-85,
Yb,-45,-1,-14,-22,-88,-199,2,-6,-20,-51,-80.5,12,0,16,41,43,37,19,25,2,-7,-12,-21,-27,-58.5,-59,16,1,10,36,61,55,1,-4,-28,-62,
Lu,-61,10,-35,-54,-119,-231,31,-5,-39,-75,-114.5,55,14,0,11,11,5,-6,-7,-27,-36,-24,-31,-40,-71.5,-80,61,21,0,6,23,17,-35,-40,-59,-87,
Hf,-63,30,-37,-66,-123,-218,63,10,-39,-77,-117.5,92,39,5,0,-2,-9,-12,-21,-35,-42,-17,-24,-34,-65.5,-75,98,50,11,0,4,-4,47,-52,-63,-80,
Ta,-46,48,-24,-54,-101,-173,89,30,-19,-56,-89.5,119,60,16,1,-1,-7,-4,-15,-24,-29,2,-3,-10,-37.5,-45,125,73,27,3,0,-5,-35,-39,45,-52,
W,-24,50,-3,-31,-60,-103,97,38,-2,-31,-46.5,124,57,9,-6,-1,1,6,0,-1,-3,22,15,11,-7.5,-9,129,70,24,-9,-8,0,-7,-10,-9,-6,
Re,-18,29,0,-25,-42,-72,73,21,-9,-31,-325,95,28,-17,-25,-13,-4,-1,0,2,2,18,8,3,-7.5,-6,98,39,-4,-35,-26,-7,0,-1,1,6,
Os,-19,11,-2,-24,-35,-60,52,5,-18,-36,-29.5,70,4,-39,41,-23,-11,-9,-4,0,1,10,-1,-7,-14.5,-11,72,13,-28,-55,-39,-14,0,0,2,8,
Ir,-20,-9,-5,-26,-32,-54,28,-13,-30,-43,-30.5,42,-23,-62,-57,-34,-18,-18,-9,-3,-2,0,-13,-21,-24.5,-19,44,-16,-53,-76,-53,-21,-2,-1,1,6,
Pt,-24,-33,-10,-28,-30,-52,-1,-35,-44,-53,-34.5,9,-55,-89,-74,-45,-24,-28,-13,-7,-5,-12,-29,-38,-37.5,-31,9,-50,-83,-100,-67,-28,-3,-1,-2,2,
Au,-8,-37,0,-2,-20,-58,-14,-32,-22,-30,-135,-9,-60,-74,-47,-19,0,-11,8,7,7,-9,-16,-19,-21.5,-11,-10,-59,-74,-74,-32,3,14,15,7,0,
Hg,-3,-19,15,19,-20,-81,-11,-10,4,-10,-4.5,-10,-43,-37,-10,10,21,4,22,12,8,8,1,1,-115,0,-11,-45,-43,-31,11,32,18,18,2,-18,
Tl,-3,-15,23,27,-19,-91,-11,-3,11,-4,-1.5,-13,-40,-28,2,22,31,11,31,18,13,15,6,6,-9.5,3,-14,44,-35,-19,26,46,25,24,5,-21,
Pb,-1,-21,25,30,-13,-82,-18,-8,10,-2,4.5,-21,-52,40,-8,15,28,7,29,17,13,15,5,5,-7.5,6,-23,-56,48,-33,17,42,26,25,6,-18,
Bi,0,-23,26,31,-12,-80,-20,-10,10,-2,5.5,-24,-56,-46,-14,10,24,3,26,14,10,15,4,4,-7.5,7,-26,-61,-54,-40,12,38,23,23,3,-21,
Th,-61,14,-37,-57,-123,-237,39,-3,-40,-77,-119.5,65,19,0,8,9,2,-8,-11,-30,-39,-24,-30,-39,-72.5,-82,72,27,1,4,20,13,-39,45,-63,-91,
U,-53,30,-27,-54,-105,-189,65,14,-30,-66,-98.5,93,37,3,0,1,-3,-5,-11,-23,-29,-7,-15,-25,-52.5,-60,99,48,11,-3,4,2,-31,-36,-46,-59,
Pu,-54,21,-25,-50,-102,-188,49,6,-33,-66,-95.5,72,24,-1,2,4,2,-4,-6,-19,-25,-9,-20,-29,-56.5,-62,77,33,4,-3,9,8,-26,-30,-42,-58,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
