,Li,Be,B,C,N,Na,Mg,Al,Si,P,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Rb,Sr,Y,Zr,Nb,Mo,To,Ru,Rh
H,-25,2,5,-3,-18,-16,-19,-8,-19,0.5,-16,-46,-60,-54,-39,-28,-34,-23,-23,-23,-6,-8,-8,-14.5,-1,-16,-45,-61,-69,-46,-28,-21,-20,-23
Li,,-5,-6,-61,-145,4,0,-4,-30,-45.5,11,-1,12,34,37,35,19,26,8,1,-5,-7,-9,-34.5,-29,13,0,8,27,51,49,8,5,-14
Be,,,0,-15,-39,18,-3,0,-15,-3.5,27,-14,-36,-30,-16,-7,-10,-4,-4,-4,0,4,5,-3.5,7,28,-10,-32,-43,-25,-7,-3,-3,-6
B,,,,-10,-28,18,-4,0,-14,0.5,27,-22,-55,-58,-42,-31,-32,-26,-24,-24,0,4,6,-0.5,10,28,-18,-50,-71,-54,-34,-25,-24,-25
C,,,,,-2,-45,-55,-36,-39,-4.5,-43,-89,-118,-109,-82,-61,-66,-50,-42,-39,-33,-32,-33,-29.5,-14,-44,-87,-117,-131,-102,-67,-39,-35,-35
N,,,,,,-141,-134,-92,-81,-24.5,-152,-201,-224,-190,-143,-107,-119,-87,-75,-69,-84,-88,-95,-78.5,-59,-154,-206,-232,-233,-174,-115,-68,-61,-63
Na,,,,,,,10,13,-11,-26.5,1,1,34,68,73,71,49,62,41,32,16,6,5,-21.5,-14,2,-2,28,59,93,93,47,44,19
Mg,,,,,,,,-2,-26,-39.5,20,-6,-3,16,23,24,10,18,3,-4,-3,-4,-4,-26.5,-21,23,-4,-6,6,32,36,3,0,-17
Al,,,,,,,,,-19,-20.5,23,-20,-38,-30,-16,-10,-19,-11,-19,-22,-1,1,1,-14.5,-6,25,-18,-38,-44,-18,-5,-20,-21,-32
Si,,,,,,,,,,-25.5,-4,-51,-74,-66,-48,-37,-45,-35,-38,-40,-19,-18,-17,-14.5,-17,4,-49,-73,-84,-56,-35,-38,-38,46
P,,,,,,,,,,,-24.5,-81.5,-112.5,-100.5,-70.5,49.5,-57.5,-39.5,-35.5,-34.5,-17.5,-17.5,-18.5,-17,-2.5,-24.5,-81.5,-113.5,-127.5,-89.5,-53.5,-33.5,-30.5,-34.5
K,,,,,,,,,,,,12,58,94,96,91,66,81,55,45,25,13,12,-19.5,-11,0,7,50,88,123,120,65,60,31
Ca,,,,,,,,,,,,,17,43,44,38,19,25,2,-7,-13,-22,-28,-595,-61,15,1,11,37,63,56,1,-4,-28
Sc,,,,,,,,,,,,,,8,7,1,-8,-11,-30,-39,-24,-29,-38,-69.5,-77,64,25,1,4,18,11,-39,-44,-61
Ti,,,,,,,,,,,,,,,-2,-7,-8,-17,-28,-35,-9,-15,-23,-51.5,-60,100,53,15,0,2,-4,-39,-43,-52
V,,,,,,,,,,,,,,,,-2,-1,-7,-14,-18,5,-2,-8,-31.5,-35,100,54,17,-4,-1,0,-21,-25,-29
Cr,,,,,,,,,,,,,,,,,2,-1,-4,-7,12,5,-1,-18.5,-19,94,47,11,-12,-7,0,-9,-12,-13
Mn,,,,,,,,,,,,,,,,,,0,-5,-8,4,-6,-13,-31.5,-31,69,27,-1,-15,-4,5,-8,-11,-16
Fe,,,,,,,,,,,,,,,,,,,-1,-2,13,4,-2,-15.5,-14,83,34,-1,-25,-16,-2,-3,-5,-5
Co,,,,,,,,,,,,,,,,,,,,0,6,-5,-11,-21.5,-18,57,10,-22,-41,-25,-5,0,-1,-2
Ni,,,,,,,,,,,,,,,,,,,,,4,-9,-15,-23.5,-19,47,-1,-31,-49,-30,-7,1,0,-1
Cu,,,,,,,,,,,,,,,,,,,,,,1,1,-11.5,-3,27,-9,-22,-23,3,19,8,7,-2
Zn,,,,,,,,,,,,,,,,,,,,,,,0,-15.5,-6,14,-21,-31,-29,-1,12,4,-5,-17
Ga,,,,,,,,,,,,,,,,,,,,,,,,-15.5,-6,13,-27,-40,-40,-8,7,-10,-11,-25
Ge,,,,,,,,,,,,,,,,,,,,,,,,,-12.5,-19.5,-59.5,-72.5,-72.5,-36.5,-13.5,-18.5,-18.5,-29.5
As,,,,,,,,,,,,,,,,,,,,,,,,,,-12,-61,-80,-85,44,-16,-15,-14,-24
Rb,,,,,,,,,,,,,,,,,,,,,,,,,,,10,56,95,130,125,67,62,33
Sr,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,48,76,69,10,5,-22
Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,30,24,-29,-34,-54
Zr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,-6,-53,-59,-72
Nb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,-36,-41,-46
Mo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11,-14,-15
Tc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Ru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
